id,area,expected_behavior,status,issue_ids,check_ids,test_count,test_ids,source_refs,verification_note
SHOW-FILTERS,show,"--thinking includes reasoning, --tools includes results, --errors selects recorded failures, and --type selects exact or dotted kinds.",passed,,,52,tests/test_file_selection.py::test_file_scope_matches_all_session_views[command0-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command0-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command1-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command1-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command10-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command10-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command11-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command11-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command12-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command12-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command2-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command2-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command3-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command3-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command4-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command4-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command5-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command5-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command6-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command6-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command7-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command7-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command8-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command8-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command9-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command9-_write_codex]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts0]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts10]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts11]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts12]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts1]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts2]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts3]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts4]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts5]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts6]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts7]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts8]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts9]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts0]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts10]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts11]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts12]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts1]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts2]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts3]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts4]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts5]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts6]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts7]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts8]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts9],README.md; src/sxr/views_read.py,
SHOW-AROUND,show,--around and --context select events by original physical line number and print whole selected text.,passed,,SHOW-zoom,27,tests/test_find.py::test_actual_source_coordinates_and_multiblock_text; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts0]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts10]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts11]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts12]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts1]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts2]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts3]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts4]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts5]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts6]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts7]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts8]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts9]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts0]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts10]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts11]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts12]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts1]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts2]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts3]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts4]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts5]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts6]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts7]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts8]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts9],README.md; src/sxr/views_read.py,
SHOW-RANGE,show,--range accepts inclusive A:B and A-B spans; malformed values return exit 2 with syntax help.,passed,,,28,tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts0]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts10]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts11]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts12]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts1]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts2]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts3]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts4]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts5]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts6]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts7]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts8]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts9]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts0]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts10]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts11]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts12]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts1]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts2]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts3]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts4]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts5]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts6]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts7]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts8]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts9]; tests/test_views.py::test_show_bad_range_teaches_the_colon_form; tests/test_views.py::test_show_range_accepts_the_grep_dash_habit,README.md; src/sxr/views_read.py,
SHOW-TAIL,show,--tail N returns the last N selected events in order and prints whole text.,passed,,,28,tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts0]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts10]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts11]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts12]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts1]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts2]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts3]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts4]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts5]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts6]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts7]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts8]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_claude-opts9]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts0]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts10]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts11]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts12]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts1]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts2]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts3]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts4]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts5]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts6]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts7]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts8]; tests/test_read_cache.py::test_cold_and_warm_match_full_parser[_write_codex-opts9]; tests/test_views.py::test_show_tail_is_zoom_never_trims; tests/test_views.py::test_show_tail_keeps_last_selected_events,README.md; src/sxr/views_read.py,
SHOW-TAIL-ZERO,show,"--tail 0 means zero events, distinct from the specifically documented -n 0 unlimited convention. This boundary expectation is inferred.",failed,SXR-AUD-011,SHOW-tail-zero,0,,README.md; src/sxr/views_read.py,
SHOW-FULL,show,"--full includes all event kinds and prints whole text, as the help epilog and installed primer promise.",failed,SXR-AUD-008,SHOW-full,0,,README.md; src/sxr/views_read.py,
SHOW-BUDGET,show,"Broad show/prompts scans print whole text under the budget, trim explicitly above it, and honor --budget/--line-limit over SXR_BUDGET/SXR_LINE_LIMIT.",passed,,,3,tests/test_views.py::test_limit_zero_means_every_row; tests/test_views.py::test_show_trims_over_budget_and_says_so; tests/test_views.py::test_show_whole_text_under_budget,README.md; src/sxr/views_read.py,
SHOW-EMPTY,show,No matching selected records returns exit 1 regardless of JSON/text rendering.,failed,SXR-AUD-010,SHOW-empty,0,,README.md; src/sxr/views_read.py,
PROMPTS-HUMAN,prompts,Claude prompts exclude metadata and compaction summaries; Codex prefers explicit user_message events and otherwise uses recorded user content labels.,passed,,PROMPTS-filter,15,tests/test_prompts.py::test_claude_prompts_excludes_marked_metadata_and_summaries[False-False]; tests/test_prompts.py::test_claude_prompts_excludes_marked_metadata_and_summaries[False-True]; tests/test_prompts.py::test_claude_prompts_excludes_marked_metadata_and_summaries[True-False]; tests/test_prompts.py::test_claude_prompts_excludes_marked_metadata_and_summaries[True-True]; tests/test_prompts.py::test_codex_legacy_user_events_are_not_duplicated[False]; tests/test_prompts.py::test_codex_legacy_user_events_are_not_duplicated[True]; tests/test_prompts.py::test_codex_prompts_excludes_injected_records[False-False]; tests/test_prompts.py::test_codex_prompts_excludes_injected_records[False-True]; tests/test_prompts.py::test_codex_prompts_excludes_injected_records[True-False]; tests/test_prompts.py::test_codex_prompts_excludes_injected_records[True-True]; tests/test_prompts.py::test_codex_prompts_keeps_unlabelled_legacy_messages; tests/test_prompts.py::test_codex_prompts_keeps_user_attachments; tests/test_prompts.py::test_codex_prompts_with_only_injected_context_is_empty; tests/test_views.py::test_prompts_claude_uses_text; tests/test_views.py::test_prompts_codex_prefers_user_message,README.md; src/sxr/views_read.py,
PROMPTS-LEGACY,prompts,Unlabelled legacy user-role text remains available; duplicated legacy user-message forms do not produce repeated prompts.,passed,,,3,tests/test_prompts.py::test_codex_legacy_user_events_are_not_duplicated[False]; tests/test_prompts.py::test_codex_legacy_user_events_are_not_duplicated[True]; tests/test_prompts.py::test_codex_prompts_keeps_unlabelled_legacy_messages,README.md; src/sxr/views_read.py,
PROMPTS-ALL,prompts,"--all includes every user-role event, including injected context, attachments and tool results.",passed,,PROMPTS-filter,13,tests/test_prompts.py::test_claude_prompts_excludes_marked_metadata_and_summaries[False-False]; tests/test_prompts.py::test_claude_prompts_excludes_marked_metadata_and_summaries[False-True]; tests/test_prompts.py::test_claude_prompts_excludes_marked_metadata_and_summaries[True-False]; tests/test_prompts.py::test_claude_prompts_excludes_marked_metadata_and_summaries[True-True]; tests/test_prompts.py::test_codex_legacy_user_events_are_not_duplicated[False]; tests/test_prompts.py::test_codex_legacy_user_events_are_not_duplicated[True]; tests/test_prompts.py::test_codex_prompts_excludes_injected_records[False-False]; tests/test_prompts.py::test_codex_prompts_excludes_injected_records[False-True]; tests/test_prompts.py::test_codex_prompts_excludes_injected_records[True-False]; tests/test_prompts.py::test_codex_prompts_excludes_injected_records[True-True]; tests/test_prompts.py::test_codex_prompts_keeps_unlabelled_legacy_messages; tests/test_prompts.py::test_codex_prompts_keeps_user_attachments; tests/test_prompts.py::test_codex_prompts_with_only_injected_context_is_empty,README.md; src/sxr/views_read.py,
CMDS-OUTCOMES,cmds,cmds prints recorded tool command text and paired ok/err/unknown outcomes for Claude and Codex.,passed,,READ-provider-outcomes,7,tests/test_codex_outcomes.py::test_commands_without_identity_are_not_collapsed; tests/test_codex_outcomes.py::test_completed_commands_counts_and_native_zoom; tests/test_codex_outcomes.py::test_completed_commands_display_command_only; tests/test_codex_outcomes.py::test_legacy_end_sets_call_outcome_without_duplicate_failures; tests/test_codex_outcomes.py::test_repeated_legacy_outcomes_and_modern_aliases; tests/test_codex_outcomes.py::test_unknown_outcomes_and_started_item_transition; tests/test_providers.py::test_claude_list_and_parse,README.md; src/sxr/views_info.py,
CMDS-GREP,cmds,"cmds --grep searches full untruncated command text across the scope with smart-case regex behavior, not command output.",passed,,,5,tests/test_codex_outcomes.py::test_completed_commands_display_command_only; tests/test_search_index.py::test_command_search_matches_direct_results; tests/test_views.py::test_cmds_grep_matches_untruncated_command_text; tests/test_views.py::test_cmds_grep_no_match_exits_1; tests/test_views.py::test_cmds_grep_smart_case,README.md; src/sxr/views_info.py,
CMDS-LIMIT,cmds,The command-row limit applies across selected sessions; -n 0 shows all and truncation is reported.,passed,,LIMIT-json-cmds,2,tests/test_views.py::test_cmds_limit_caps_the_whole_scope_not_each_session; tests/test_views.py::test_cmds_limit_zero_prints_everything,README.md; src/sxr/views_info.py,
CMDS-REGEX-ERROR,cmds,Bad --grep regexes exit 2 and name the flag and literal escape fix.,passed,,,1,tests/test_views.py::test_cmds_bad_grep_regex_exits_2_naming_its_own_flag,README.md; src/sxr/views_info.py,
ERRORS-RECORDS,errors,Errors preserve original flagged records and denial kinds; repeated representations of one Codex outcome are not counted twice.,passed,,READ-provider-outcomes,7,tests/test_codex_outcomes.py::test_commands_without_identity_are_not_collapsed; tests/test_codex_outcomes.py::test_completed_commands_counts_and_native_zoom; tests/test_codex_outcomes.py::test_completed_commands_display_command_only; tests/test_codex_outcomes.py::test_legacy_end_sets_call_outcome_without_duplicate_failures; tests/test_codex_outcomes.py::test_repeated_legacy_outcomes_and_modern_aliases; tests/test_codex_outcomes.py::test_unknown_outcomes_and_started_item_transition; tests/test_providers.py::test_claude_list_and_parse,README.md; src/sxr/views_read.py,
ERRORS-API,errors,Claude isApiErrorMessage records counted in session errors should also be retrievable through errors and show --errors.,failed,SXR-AUD-003,ERRORS-api-error,0,,README.md; src/sxr/views_read.py,
ERRORS-LIMIT,errors,errors -n caps records across the whole range and reports omissions.,failed,SXR-AUD-006,LIMIT-errors-scope; LIMIT-errors-notice,0,,README.md; src/sxr/views_read.py,
TOOLS-COUNTS,tools,tools counts calls and failures by tool from parsed records.,passed,,READ-provider-outcomes,2,tests/test_codex_outcomes.py::test_completed_commands_counts_and_native_zoom; tests/test_providers.py::test_claude_list_and_parse,README.md; src/sxr/views_info.py,
TOOLS-SKILL-INPUTS,tools,"Each Skill call contributes once to the count for its own input.skill, even when several tool calls share a physical record.",failed,SXR-AUD-009,TOOLS-skill-count,0,,README.md; src/sxr/views_info.py,
STATS-COUNTS,stats,"stats reports per-property record counts, tokens, model, errors, interruptions and attribution from recorded data.",passed,,,18,tests/test_codex_outcomes.py::test_completed_commands_counts_and_native_zoom; tests/test_lazy_discovery.py::test_selected_transcript_parsed_once[claude-cmds]; tests/test_lazy_discovery.py::test_selected_transcript_parsed_once[claude-errors]; tests/test_lazy_discovery.py::test_selected_transcript_parsed_once[claude-prompts]; tests/test_lazy_discovery.py::test_selected_transcript_parsed_once[claude-show]; tests/test_lazy_discovery.py::test_selected_transcript_parsed_once[claude-stats]; tests/test_lazy_discovery.py::test_selected_transcript_parsed_once[claude-tools]; tests/test_lazy_discovery.py::test_selected_transcript_parsed_once[codex-cmds]; tests/test_lazy_discovery.py::test_selected_transcript_parsed_once[codex-errors]; tests/test_lazy_discovery.py::test_selected_transcript_parsed_once[codex-prompts]; tests/test_lazy_discovery.py::test_selected_transcript_parsed_once[codex-show]; tests/test_lazy_discovery.py::test_selected_transcript_parsed_once[codex-stats]; tests/test_lazy_discovery.py::test_selected_transcript_parsed_once[codex-tools]; tests/test_providers.py::test_claude_flatten; tests/test_providers.py::test_claude_list_and_parse; tests/test_providers.py::test_codex_ignores_other_cwd; tests/test_providers.py::test_codex_list_and_parse; tests/test_providers.py::test_codex_thread_identity_and_legacy_fallback,README.md; src/sxr/views_info.py,
PATH-SOURCES,path,path prints selected source paths including Claude child files; --file returns only that explicit file and requires no full transcript parse.,passed,,SELECT-identities,30,tests/test_file_selection.py::test_file_scope_matches_all_session_views[command0-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command0-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command1-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command1-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command10-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command10-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command11-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command11-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command12-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command12-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command2-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command2-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command3-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command3-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command4-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command4-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command5-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command5-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command6-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command6-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command7-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command7-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command8-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command8-_write_codex]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command9-_write_claude]; tests/test_file_selection.py::test_file_scope_matches_all_session_views[command9-_write_codex]; tests/test_lazy_discovery.py::test_path_never_parses_transcripts[claude-@2]; tests/test_lazy_discovery.py::test_path_never_parses_transcripts[claude-session-1]; tests/test_lazy_discovery.py::test_path_never_parses_transcripts[codex-@2]; tests/test_lazy_discovery.py::test_path_never_parses_transcripts[codex-session-1],README.md; src/sxr/views_info.py,
GREP-MATCH,grep,"grep searches decoded event text with smart-case regexes; -i forces any case, -F is literal, and -e permits a leading dash.",passed,,GREP-modes,4,tests/test_grep.py::test_capitals_warning_names_the_flag; tests/test_grep.py::test_ignore_case_matches_any_case_and_drops_the_warning; tests/test_grep.py::test_metachar_warning_unless_fixed; tests/test_grep.py::test_pick_pattern_shifts_a_positional_when_e_is_used,README.md; src/sxr/views_grep.py,
GREP-CONTEXT,grep,-C emits symmetric surrounding event windows without exceeding the global row cap; -A/-B teach the supported flag.,passed,,,2,tests/test_cli.py::test_after_before_teach_symmetric_context; tests/test_grep.py::test_context_windows_stay_under_the_row_cap,README.md; src/sxr/views_grep.py,
GREP-COUNT,grep,"-c counts matching events per session, ranks by matches, reports first source event, and prunes zeros unless --all is set.",passed,,,4,tests/test_grep.py::test_count_all_restores_zero_rows; tests/test_grep.py::test_count_table_ranks_prunes_and_names_the_zoom; tests/test_scope.py::test_count_json_keeps_the_title_clean; tests/test_scope.py::test_count_table_marks_the_live_row,README.md; src/sxr/views_grep.py,
GREP-ORDER,grep,--sort started returns oldest matching sessions first; invalid sort values return exit 2.,passed,,,3,tests/test_cli.py::test_sort_value_is_checked; tests/test_grep.py::test_bad_sort_exits_2; tests/test_grep.py::test_count_sort_started_puts_the_oldest_first,README.md; src/sxr/views_grep.py,
GREP-IDS,grep,-l prints one selector per matching session.,passed,,,1,tests/test_grep.py::test_ids_only_prints_one_id_per_matching_session,README.md; src/sxr/views_grep.py,
GREP-LIMIT,grep,"Match rows are capped by -n or the character budget; -n 0 lifts both caps, --budget 0 lifts the budget, and the true total is reported.",passed,,,5,tests/test_grep.py::test_budget_zero_never_caps; tests/test_grep.py::test_char_budget_caps_rows_without_a_limit; tests/test_grep.py::test_count_limit_caps_rows; tests/test_grep.py::test_limit_caps_match_rows_and_reports_the_total; tests/test_grep.py::test_limit_zero_prints_everything,README.md; src/sxr/views_grep.py,
GREP-ERRORS,grep,No matches returns 1 with a scope hint; missing/invalid patterns return 2 with recovery advice rather than an empty-result status.,passed,,,6,tests/test_cli.py::test_bad_regex_exits_2_not_1; tests/test_cli.py::test_missing_pattern_exits_2; tests/test_grep.py::test_bad_regex_exits_2_with_the_literal_fix; tests/test_grep.py::test_missing_pattern_exits_2; tests/test_grep.py::test_second_positional_that_is_no_session_teaches_the_regex; tests/test_grep.py::test_zero_matches_exits_1_with_broaden_hint,README.md; src/sxr/views_grep.py,
FIND-DEFAULT,find,"find defaults to both providers, Claude children and Codex archives; project/provider filters narrow that union.",passed,,FIND-roundtrip,3,tests/test_find.py::test_both_providers_and_clues_across_events; tests/test_find.py::test_child_archive_profile_and_duplicate_copy_coverage; tests/test_find.py::test_project_and_provider_filters,README.md; src/sxr/find_service.py,
FIND-CLUES,find,All clues must match somewhere in the same session; --any accepts any clue; quoted phrases must occur within one event.,passed,,,3,tests/test_find.py::test_exact_phrases_and_query_syntax_are_data; tests/test_find_integrity.py::test_clues_never_silently_drop_requested_words; tests/test_find_integrity.py::test_long_tokens_and_phrases_are_not_split,README.md; src/sxr/find_service.py,
FIND-TOKENIZATION,find,"Matching is case-insensitive, normalizes most Latin diacritics and punctuation, and treats FTS syntax as data.",passed,,FIND-unicode-match,7,tests/test_find.py::test_exact_phrases_and_query_syntax_are_data; tests/test_find_integrity.py::test_escaped_unicode_is_searchable_and_surrogates_are_preserved; tests/test_find_integrity.py::test_usage_errors_match_both_entry_points[arguments0]; tests/test_find_integrity.py::test_usage_errors_match_both_entry_points[arguments1]; tests/test_find_integrity.py::test_usage_errors_match_both_entry_points[arguments2]; tests/test_find_integrity.py::test_usage_errors_match_both_entry_points[arguments3]; tests/test_find_integrity.py::test_usage_errors_match_both_entry_points[arguments4],README.md; src/sxr/find_service.py,
FIND-EVIDENCE,find,"Ranked hits include source coordinates and up to three bounded excerpts that actually show the matched text, including normalized matches.",failed,SXR-AUD-004,FIND-roundtrip; FIND-unicode-evidence,2,tests/test_find.py::test_actual_source_coordinates_and_multiblock_text; tests/test_find_integrity.py::test_escaped_unicode_is_searchable_and_surrogates_are_preserved,README.md; src/sxr/find_service.py,
FIND-LIMIT,find,"Ranked search defaults to five sessions, -n changes the limit and zero returns all; total counts logical deduplicated sessions.",passed,,,3,tests/test_find.py::test_child_archive_profile_and_duplicate_copy_coverage; tests/test_find.py::test_only_displayed_results_load_passage_bodies; tests/test_find_paths.py::test_path_limits_json_and_both_entry_points,README.md; src/sxr/find_service.py,
FIND-PATHS,find,"--paths skips ranking/excerpt reads, returns sorted physical paths including copies, defaults to all, and uses paths in JSON.",passed,,FIND-paths,6,tests/test_find_paths.py::test_path_limits_json_and_both_entry_points; tests/test_find_paths.py::test_path_only_clues_and_phrases_across_providers; tests/test_find_paths.py::test_paths_do_not_load_or_score_evidence; tests/test_find_paths.py::test_paths_include_every_duplicate_source; tests/test_find_paths.py::test_paths_remain_current_after_edit_and_deletion; tests/test_find_paths.py::test_paths_report_missing_roots_and_concurrent_changes,README.md; src/sxr/find_service.py,
FIND-CURRENT,find,CODEX_THREAD_ID takes precedence over CODEX_SESSION_ID; current Codex files are excluded unless --include-current or explicit --file selects them.,passed,,FIND-exclusion,5,tests/test_find_current.py::test_current_codex_is_excluded_before_parsing; tests/test_find_current.py::test_current_override_and_explicit_file; tests/test_find_current.py::test_explicit_exclusion_accepts_claude_and_exact_ids; tests/test_find_current.py::test_fast_cli_keeps_exclusion_and_override_semantics; tests/test_find_current.py::test_thread_id_takes_precedence_over_legacy_session_id,README.md; src/sxr/find_service.py,
FIND-EXCLUDE,find,Repeatable --exclude-session excludes full session IDs for either provider and reports excluded-file counts in coverage.,passed,,,2,tests/test_find_current.py::test_explicit_exclusion_accepts_claude_and_exact_ids; tests/test_find_current.py::test_fast_cli_keeps_exclusion_and_override_semantics,README.md; src/sxr/find_service.py,
FIND-FRESHNESS,find,"Every request checks inventory and source identity; additions, appends, rewrites, replacements and deletions change subsequent results.",passed,,FIND-freshness,3,tests/test_find.py::test_new_files_appends_rewrites_and_deleted_files; tests/test_find_integrity.py::test_replacement_preserving_size_and_mtime_invalidates_index; tests/test_find_paths.py::test_paths_remain_current_after_edit_and_deletion,README.md; src/sxr/find_service.py,
